Bundesland;FlaecheKm2;EwGesamt;EwMännlich;EwWeiblich;EwProKm2
Schleswig-Holstein;15804.3;2896712;1419457;1477255;183
Hamburg;755.09;1841179;902048;939131;2438
Niedersachsen;47709.51;7982448;3943243;4039205;167
Bremen;419.36;682986;338035;344951;1629
Nordrhein-Westphalen;34112.31;17932651;8798631;9134020;526
Hessen;21115.67;6265809;3093044;3172765;297
Rheinland-Pfalz;19851.82;4084844;2017576;2067268;206
Baden-Württemberg;35748.2;11069533;5501693;5567840;310
Bayern;70541.61;13076721;6483793;6592928;185
Saarland;2571.11;990509;486159;504350;385
Berlin;891.12;3644826;1792801;1852025;4090
Brandenburg;29654.48;2511917;1239460;1272457;85
Mecklenburg-Vorpommern;23293.61;1609675;793639;816036;69
Sachsen;18449.95;4077937;2009619;2068318;221
Sachsen-Anhalt;20454.31;2208321;1086679;1121642;108
Thüringen;16202.39;2143145;1060814;1082331;132
